".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.DefaultGateway",,,,"ipv4","O","R",,"wan_reconf","The IP address of the default gateway for this connection.  This parameter is configurable only if the AddressingType is Static."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.DNSEnabled",,,,"boolean","O","R",,"wan_reconf","Whether or not the device should attempt to query a DNS server across this connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.DNSOverrideAllowed",,,,"boolean","O","R",,"wan_reconf","Whether or not a manually set, non-empty DNS address can be overridden by a DNS entry received from the WAN."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.DNSServers",,,,"string","O","R",,"wan_reconf","Comma separated list of DNS server IP addresses for this connection.  Support for more than three DNS Servers is Optional."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.MaxMTUSize",,,,"unsignedInt [1:1540]","O","O",,"wan_reconf","The maximum allowed size of an Ethernet frame from LAN-side devices."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.MACAddress",,,,"string","O","R",,"wan_reconf","The physical address of the WANIPConnection if applicable.  Configurable only if MACAddressOverride is present and true (1)."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.MACAddressOverride",,,,"boolean","O","O",,"wan_reconf","Whether the value of MACAddress parameter can be overridden. If false (0), the CPE's default value is used (or restored if it had previously been overridden)."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.ConnectionTrigger",,,,"enum(OnDemand,AlwaysOn,Manual)","R","R",,,"Trigger used to establish the IP connection.  Enumeration of:
""OnDemand""
""AlwaysOn""
""Manual"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.RouteProtocolRx",,,,"enum(Off,RIPv1,RIPv2,OSPF)","R","R",,,"Defines the Rx protocol to be used.   Enumeration of:
""Off""
""RIPv1"" (Optional)
""RIPv2"" (Optional)
""OSPF"" (Optional)"
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMappingNumberOfEntries",,"count(PortMapping)",,"unsignedInt","-","R",,,"Total number of port mapping entries."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.","PMap",,,,,,,,
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.",,,,"object","R","R",,,"Port mapping table."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.PortMappingEnabled",,,,"boolean","R","R",,,"Enables or disables the port mapping instance.  On creation, an entry is disabled by default."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.PortMappingLeaseDuration",,,,"unsignedInt","R","R","  N",,"Determines the time to live, in seconds, of a port-mapping lease. A value of 0 means the port mapping is static. Static port mappings do not necessarily mean persistence of these mappings across device resets or reboots."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.RemoteHost",,,,"string","R","R",,,"This parameter is the IP address of the source of inbound packets.  An empty string indicates a 'wildcard' (this will be a wildcard in most cases).  CPE are required only to support wildcards.
When RemoteHost is a wildcard, all traffic sent to the ExternalPort on the WAN interface of the gateway is forwarded to the InternalClient on the InternalPort.
When RemoteHost is specified as one external IP address, the NAT will only forward inbound packets from this RemoteHost to the InternalClient, all other packets will be dropped. "
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.ExternalPort",,,,"unsignedInt","R","R",,,"The external port that the NAT gateway would listen on for connection requests to a corresponding InternalPort. Inbound packets to this external port on the WAN interface should be forwarded to InternalClient on the InternalPort.
A value of zero (0) represents a 'wildcard.'  If this value is a wildcard, connection request on all external ports (that are not otherwise mapped) will be forwarded to InternalClient.  In the wildcard case, the value(s) of InternalPort on InternalClient are ignored."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.InternalPort",,,,"unsignedInt","R","R",,,"The port on InternalClient that the gateway should forward connection requests to.  A value of zero (0) is not allowed."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.PortMappingProtocol",,,,"enum(TCP,UDP)","R","R",,,"The protocol of the port mapping.  Enumeration of:
""TCP""
""UDP"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.InternalClient",,,,"string","R","R",,,"The IP address or DNS host name of an internal client (on the LAN).
Support for an IP address is mandatory, while support for DNS host names is optional.
This value cannot be an empty string.
It must be possible to set the InternalClient to the broadcast IP address 255.255.255.255 for UDP mappings. This is to enable multiple NAT clients to use the same well-known port simultaneously."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.PortMappingDescription",,,,"string(256)","R","R",,,"User-readable description of this port mapping."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Stats.","Stats",,,"object","-","C","S",,"This object contains statistics for all connections within the same WANﾭConnectionﾭDevice that share a common MAC address.  The contents of this object should be identical for each such connection.
This object is required for all WANﾭConnectionﾭDevices that can support an Ethernet-layer on this interface (e.g., PPPoE, IPoE)."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Stats.EthernetBytesSent",,,,"unsignedInt","-","C","S N",,"Total number of bytes sent over all connections within the same WANﾭConnectionﾭDevice that share a common MAC address since the CPE was last reset."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Stats.EthernetBytesReceived",,,,"unsignedInt","-","C","S N",,"Total number of bytes received over all connections within the same WANﾭConnectionﾭDevice that share a common MAC address since the CPE was last reset."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Stats.EthernetPacketsSent",,,,"unsignedInt","-","C","S N",,"Total number of Ethernet packets sent over all connections within the same WANﾭConnectionﾭDevice that share a common MAC address since the CPE was last reset."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Stats.EthernetPacketsReceived",,,,"unsignedInt","-","C","S N",,"Total number of Ethernet packets received over all connections within the same WANﾭConnectionﾭDevice that share a common MAC address since the CPE was last reset."
"InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_TPLINO_NET_NATPool.","NP",,,"object",,,,,
"InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_TPLINO_NET_NATPool.Enabled",,,,"boolean","O","O",,,
"InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_TPLINO_NET_NATPool.MinAddress",,,,"ipv4","O","O",,,
"InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_TPLINO_NET_NATPool.MaxAddress",,,,"ipv4","O","O",,,
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.","PPPCon",,,,,,,,
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.",,,,"object","R","R",,,"This object enables configuration of PPP connections on the WAN interface of a CPE.  This object is required for all WANConnectionDevices that employ PPP addressing, and must not be active for WANConnectionDevices that do not employ PPP addressing."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.Enable",,,,"boolean","R","R",,"wan_reconf","Enables or disables the connection instance.  On creation of a WANﾭPPPﾭConnection instance, it is initially disabled."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.ConnectionStatus",,,,"enum(Unconfigured,Connecting,Authenticating,Connected,PendingDisconnect,Disconnecting,Disconnected)","-","R","S",,"Current status of the connection.  Enumeration of:
""Unconfigured""
""Connecting""
""Authenticating""
""Connected""
""PendingDisconnect""
""Disconnecting""
""Disconnected"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.PossibleConnectionTypes",,,,"string","-","R","S",,"A comma-separated list indicating the types of connections possible for this connection instance.  Each element of the list is an enumeration of:
""Unconfigured""
""IP_Routed""
""DHCP_Spoofed""
""PPPoE_Bridged""
""PPPoE_Relay""
""PPTP_Relay""
""L2TP_Relay"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.ConnectionType",,,,"enum(Unconfigured,IP_Routed,DHCP_Spoofed,PPPoE_Bridged,PPPoE_Relay,PPTP_Relay,L2TP_Relay)","R","R",,,"Specifies the connection type of the connection instance.  Enumeration of:
""Unconfigured""
""IP_Routed""
""DHCP_Spoofed""
""PPPoE_Bridged""
""PPPoE_Relay""
""PPTP_Relay""
""L2TP_Relay"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.Name",,,,"string(256)","R","R",,,"User-readable name of this connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.Uptime",,1,,"unsignedInt","-","R","S N",,"The time in seconds that this connection has been up."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.LastConnectionError",,,,"enum(ERROR_NONE,ERROR_ISP_TIME_OUT,ERROR_COMMAND_ABORTED,ERROR_NOT_ENABLED_FOR_INTERNET,ERROR_BAD_PHONE_NUMBER,ERROR_USER_DISCONNECT,ERROR_ISP_DISCONNECT,ERROR_IDLE_DISCONNECT,ERROR_FORCED_DISCONNECT,ERROR_SERVER_OUT_OF_RESOURCES,ERROR_RESTRICTED_LOGON_HOURS,ERROR_ACCOUNT_DISABLED,ERROR_ACCOUNT_EXPIRED,ERROR_PASSWORD_EXPIRED,ERROR_AUTHENTICATION_FAILURE,ERROR_NO_DIALTONE,ERROR_NO_CARRIER,ERROR_NO_ANSWER,ERROR_LINE_BUSY,ERROR_UNSUPPORTED_BITSPERSECOND,ERROR_TOO_MANY_LINE_ERRORS,ERROR_IP_CONFIGURATION,ERROR_UNKNOWN)","-","R","S",,"The cause of failure for the last connection setup attempt.  Enumeration of:
""ERROR_NONE""
""ERROR_ISP_TIME_OUT""
""ERROR_COMMAND_ABORTED""
""ERROR_NOT_ENABLED_FOR_INTERNET""
""ERROR_BAD_PHONE_NUMBER""
""ERROR_USER_DISCONNECT""
""ERROR_ISP_DISCONNECT""
""ERROR_IDLE_DISCONNECT""
""ERROR_FORCED_DISCONNECT""
""ERROR_SERVER_OUT_OF_RESOURCES""
""ERROR_RESTRICTED_LOGON_HOURS""
""ERROR_ACCOUNT_DISABLED""
""ERROR_ACCOUNT_EXPIRED""
""ERROR_PASSWORD_EXPIRED""
""ERROR_AUTHENTICATION_FAILURE""
""ERROR_NO_DIALTONE""
""ERROR_NO_CARRIER""
""ERROR_NO_ANSWER""
""ERROR_LINE_BUSY""
""ERROR_UNSUPPORTED_BITSPERSECOND""
""ERROR_TOO_MANY_LINE_ERRORS""
""ERROR_IP_CONFIGURATION""
""ERROR_UNKNOWN"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.AutoDisconnectTime",,,,"unsignedInt","O","O",,"wan_reconf","The time in seconds since the establishment of the connection after which connection termination is automatically initiated by the CPE.  This occurs irrespective of whether the connection is being used or not.  A value of 0 (zero) indicates that the connection is not to be shut down automatically."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.IdleDisconnectTime",,,,"unsignedInt","O","O",,"wan_reconf","The time in seconds that if the connection remains idle, the CPE automatically terminates the connection.  A value of 0 (zero) indicates that the connection is not to be shut down automatically."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.WarnDisconnectDelay",,,,"unsignedInt","O","O",,,"Time in seconds the Status remains in the pending disconnect state before transitioning to disconnecting state to drop the connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.RSIPAvailable",,,,"boolean","-","R","S",,"Indicates if Realm-specific IP (RSIP) is available as a feature on the CPE."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.NATEnabled",,,,"boolean","C","R",,,"Indicates if Network Address Translation (NAT) is enabled for this connection.  This parameter MUST be writable if NAT is supported by the CPE."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.Username",,,,"string(64)","R","R",,"wan_reconf","Username to be used for authentication."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.Password",,,,"string(64)","R","-",,"wan_reconf","Password to be usef for authentication.
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.PPPEncryptionProtocol",,,,"enum(None,MPPE)","-","O","S",,"Describes the PPP encryption protocol used between the WAN device and the ISP POP.  Enumeration of:
""None""
""MPPE"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.PPPCompressionProtocol",,,,"enum(None,Van Jacobsen,STAC LZS)","-","O","S",,"Describes the PPP compression protocol used between the WAN device and the ISP POP.  Enumeration of:
""None""
""Van Jacobsen""
""STAC LZS"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.PPPAuthenticationProtocol",,,,"enum(PAP,CHAP,MS-CHAP)","-","O","S",,"Describes the PPP authentication protocol used between the WAN device and the ISP POP.  Enumeration of:
""PAP""
""CHAP""
""MS-CHAP"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.ExternalIPAddress",,,,"ipv4","-","R","S F",,"This is the external IP address used by NAT for this connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.RemoteIPAddress",,,,"ipv4","-","O","S",,"The remote IP address for this connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.MaxMRUSize",,,,"unsignedInt [1:1540]","O","O",,"wan_reconf","The maximum allowed size of frames sent from the remote peer."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.CurrentMRUSize",,,,"unsignedInt [1:1540]","-","O","S N",,"The current MRU in use over this connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.DNSEnabled",,,,"boolean","O","R",,,"Whether or not the device should attempt to query a DNS server across this connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.DNSOverrideAllowed",,,,"boolean","O","R",,,"Whether or not a manually set, non-empty DNS address can be overridden by a DNS entry received from the WAN."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.DNSServers",,,,"string","O","R",,,"Comma separated list of DNS server IP addresses for this connection.  Support for more than three DNS Servers is Optional."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.MACAddress",,,,"string","O","R",,,"The physical address of the WANIPConnection if applicable.  Configurable only if MACAddressOverride is present and true (1)."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.MACAddressOverride",,,,"boolean","O","O",,,"Whether the value of MACAddress parameter can be overridden. If false (0), the CPE's default value is used (or restored if it had previously been overridden)."
